,name,team,element_type,selected_by_percent,now_cost,minutes,total_points,goals_scored,assists,clean_sheets,bonus,position
58,Cameron Archer,Aston Villa,4,1.7,4.2,43,6,0,0,0,0,Forward
59,Jaden Philogene-Bidace,Aston Villa,3,0.0,4.5,0,0,0,0,0,0,Midfielder
60,Frédéric Guilbert,Aston Villa,2,0.6,3.9,0,0,0,0,0,0,Defender
61,Leander Dendoncker,Aston Villa,3,0.1,4.7,894,36,0,0,4,0,Midfielder
62,Ludwig Augustinsson,Aston Villa,2,0.0,4.3,76,2,0,0,0,0,Defender
63,Kaine Kesler Hayden,Aston Villa,2,0.0,4.0,0,0,0,0,0,0,Defender
64,Ashley Young,Aston Villa,2,0.9,4.3,1840,84,1,0,9,8,Defender
65,Lamare Bogarde,Aston Villa,2,0.0,4.0,0,0,0,0,0,0,Defender
66,Filip Marschall,Aston Villa,1,0.0,4.0,0,0,0,0,0,0,Goalkeeper
67,Kadan Young,Aston Villa,3,0.0,4.5,0,0,0,0,0,0,Midfielder
68,Alexandre Moreno Lopera,Aston Villa,2,2.9,4.5,1140,67,0,3,7,5,Defender
69,Viljami Sinisalo,Aston Villa,1,0.0,4.0,0,0,0,0,0,0,Goalkeeper
70,Jhon Durán,Aston Villa,4,0.0,5.5,92,8,0,0,0,0,Forward
71,Sil Swinkels,Aston Villa,2,0.0,4.0,0,0,0,0,0,0,Defender
72,Oliwier Zych,Aston Villa,1,0.0,4.0,0,0,0,0,0,0,Goalkeeper
73,James Wright,Aston Villa,1,0.0,4.0,0,0,0,0,0,0,Goalkeeper
74,Sebastian Revan,Aston Villa,2,0.0,4.0,0,0,0,0,0,0,Defender
75,Travis Patterson,Aston Villa,3,0.0,4.5,0,0,0,0,0,0,Midfielder
76,Tommi O'Reilly,Aston Villa,3,0.0,4.5,0,0,0,0,0,0,Midfielder
77,Adam Smith,Bournemouth,2,0.2,4.3,2673,69,0,1,7,5,Defender
78,Junior Stanislas,Bournemouth,3,0.0,4.8,58,4,0,0,0,0,Midfielder
79,Ryan Fredericks,Bournemouth,2,0.0,4.4,527,12,0,0,0,0,Defender
80,David Brooks,Bournemouth,3,0.0,5.3,29,2,0,0,0,0,Midfielder
81,Jamal Lowe,Bournemouth,3,0.0,5.2,11,2,0,0,0,0,Midfielder
82,Kieffer Moore,Bournemouth,4,0.8,4.9,1180,54,4,0,3,3,Forward
83,Emiliano Marcondes,Bournemouth,3,0.0,4.7,8,1,0,0,0,0,Midfielder
84,Jefferson Lerma Solís,Bournemouth,3,0.4,4.7,2892,94,5,0,7,5,Midfielder
85,Jack Stacey,Bournemouth,2,0.0,4.2,293,6,0,0,0,0,Defender
86,Dominic Solanke,Bournemouth,4,3.9,5.6,2506,123,6,10,8,14,Forward
87,Lewis Cook,Bournemouth,3,0.1,4.9,1582,48,0,2,3,1,Midfielder
88,Ben Pearson,Bournemouth,3,0.1,4.4,282,9,0,0,1,0,Midfielder
89,Ryan Christie,Bournemouth,3,0.1,5.3,1554,54,1,1,3,2,Midfielder
