,Player Name,Team,Opponent,Venue,Difficulty,Gameweek,Kickoff Time
0,Xhaka,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
1,Elneny,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
2,Holding,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
3,Partey,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
4,Ødegaard,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
5,Tierney,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
6,Pépé,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
7,White,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
8,Nketiah,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
9,Smith Rowe,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
10,Saka,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
11,Tomiyasu,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
12,Ramsdale,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
13,Gabriel,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
14,Tavares,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
15,Martinelli,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
16,Pablo Marí,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
17,Torreira,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
18,Nelson,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
19,Turner,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
20,Fábio Vieira,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
21,Saliba,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
22,Marquinhos,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
23,Jesus,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
24,Trossard,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
25,Jorginho,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
26,Zinchenko,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
27,Smith,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
28,Nwaneri,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
29,Sousa,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
30,Hein,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
31,Cozier-Duberry,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
32,Butler-Oyedeji,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
33,Kiwior,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
34,Walters,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
35,Bandeira,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
1296,Coutinho,Aston Villa,Brighton,Home,3,38,2023-05-28T15:30:00Z
1297,Martínez,Aston Villa,Brighton,Home,3,38,2023-05-28T15:30:00Z
1298,Chambers,Aston Villa,Brighton,Home,3,38,2023-05-28T15:30:00Z
1299,Digne,Aston Villa,Brighton,Home,3,38,2023-05-28T15:30:00Z
1300,Traoré,Aston Villa,Brighton,Home,3,38,2023-05-28T15:30:00Z
1301,Olsen,Aston Villa,Brighton,Home,3,38,2023-05-28T15:30:00Z
1302,Sanson,Aston Villa,Brighton,Home,3,38,2023-05-28T15:30:00Z
1303,McGinn,Aston Villa,Brighton,Home,3,38,2023-05-28T15:30:00Z
1304,Hause,Aston Villa,Brighton,Home,3,38,2023-05-28T15:30:00Z
1305,Mings,Aston Villa,Brighton,Home,3,38,2023-05-28T15:30:00Z
1306,Watkins,Aston Villa,Brighton,Home,3,38,2023-05-28T15:30:00Z
1307,Nakamba,Aston Villa,Brighton,Home,3,38,2023-05-28T15:30:00Z
1308,Buendía,Aston Villa,Brighton,Home,3,38,2023-05-28T15:30:00Z
1309,Cash,Aston Villa,Brighton,Home,3,38,2023-05-28T15:30:00Z
1310,Konsa,Aston Villa,Brighton,Home,3,38,2023-05-28T15:30:00Z
1311,Bailey,Aston Villa,Brighton,Home,3,38,2023-05-28T15:30:00Z
