,Player Name,Team,Position,Price,Total Points,Total Goals,Total Assists,Total Clean Sheets,Total Bonus,Minutes Played
0,Xhaka,Arsenal,Midfielder,4.8,138,5,8,12,13,2918
1,Elneny,Arsenal,Midfielder,4.1,6,0,0,0,0,111
2,Holding,Arsenal,Defender,4.2,21,1,0,0,0,562
3,Partey,Arsenal,Midfielder,4.7,83,3,0,10,6,2390
4,Ødegaard,Arsenal,Midfielder,6.8,209,15,8,12,30,3058
5,Tierney,Arsenal,Defender,4.6,36,0,1,1,0,764
6,Pépé,Arsenal,Midfielder,5.3,0,0,0,0,0,0
7,White,Arsenal,Defender,5.0,150,2,5,14,12,2964
8,Nketiah,Arsenal,Forward,6.3,62,4,2,2,5,1061
9,Smith Rowe,Arsenal,Midfielder,5.6,14,0,1,0,0,146
10,Saka,Arsenal,Midfielder,8.0,196,13,12,12,19,3124
11,Tomiyasu,Arsenal,Defender,4.2,32,0,1,2,0,651
12,Ramsdale,Arsenal,Goalkeeper,4.8,137,0,0,13,9,3330
13,Gabriel,Arsenal,Defender,5.2,140,3,0,13,15,3319
14,Tavares,Arsenal,Defender,4.5,0,0,0,0,0,0
15,Martinelli,Arsenal,Midfielder,6.5,198,15,9,14,18,2789
16,Pablo Marí,Arsenal,Defender,4.5,0,0,0,0,0,0
17,Torreira,Arsenal,Midfielder,4.5,0,0,0,0,0,0
18,Nelson,Arsenal,Midfielder,4.7,41,3,3,1,5,172
19,Turner,Arsenal,Goalkeeper,3.8,0,0,0,0,0,0
20,Fábio Vieira,Arsenal,Midfielder,5.6,39,1,2,2,2,485
21,Saliba,Arsenal,Defender,4.9,117,2,1,12,14,2415
22,Marquinhos,Arsenal,Midfielder,4.6,1,0,0,0,0,1
23,Jesus,Arsenal,Forward,8.1,113,10,6,8,14,1974
24,Trossard,Arsenal,Midfielder,6.6,145,8,11,7,8,2158
25,Jorginho,Arsenal,Midfielder,5.7,76,2,2,8,5,2037
26,Zinchenko,Arsenal,Defender,5.1,99,1,2,10,8,2122
27,Smith,Arsenal,Midfielder,4.4,0,0,0,0,0,0
28,Nwaneri,Arsenal,Midfielder,4.5,1,0,0,0,0,1
29,Sousa,Arsenal,Defender,4.0,0,0,0,0,0,0
30,Hein,Arsenal,Goalkeeper,3.9,0,0,0,0,0,0
31,Cozier-Duberry,Arsenal,Midfielder,4.5,0,0,0,0,0,0
32,Butler-Oyedeji,Arsenal,Forward,4.5,0,0,0,0,0,0
33,Kiwior,Arsenal,Defender,4.0,13,0,0,1,0,346
34,Walters,Arsenal,Defender,4.0,0,0,0,0,0,0
35,Bandeira,Arsenal,Midfielder,4.5,0,0,0,0,0,0
