,Gameweek,Player Name,Position,Opponent,Team,Gameweek Points,Venue,Home Team Score,Away Team Score,Minutes Played,Goals Scored,Assists,Clean Sheets,Goals Conceded,xG Conceded,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus,xG,xA,Selected By(%),Price,Total Goals Scored,Total Assists,Clean Sheets,Total Clean Sheets,Total Goals Conceded,Total xG Conceded,Total Own Goals,Total Saves,Total Penalties Saved,Total Penalties Missed,Total Yellow Cards,Total Red Cards,Total Bonus,Total Starts,Total xG,Total xA,Total Points,Availability
29,30,Xhaka,Midfielder,Liverpool,Arsenal,1,Away,2.0,2.0,90,0,0,0,2,3.96,0,0,0,1,0,0,0,0.04,0.01,2.6,4.8,5,8,0,12,35,36.23,0,0,0,0,4,0,13,35,3.77,3.87,138,a
30,31,Xhaka,Midfielder,West Ham,Arsenal,2,Away,2.0,2.0,90,0,0,0,2,1.75,0,0,0,0,0,0,0,0.0,0.04,2.6,4.8,5,8,0,12,35,36.23,0,0,0,0,4,0,13,35,3.77,3.87,138,a
31,32,Xhaka,Midfielder,Southampton,Arsenal,0,Home,3.0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,2.6,4.8,5,8,0,12,35,36.23,0,0,0,0,4,0,13,35,3.77,3.87,138,a
32,33,Xhaka,Midfielder,Man City,Arsenal,1,Away,4.0,1.0,59,0,0,0,3,1.85,0,0,0,0,0,0,0,0.02,0.03,2.6,4.8,5,8,0,12,35,36.23,0,0,0,0,4,0,13,35,3.77,3.87,138,a
33,34,Xhaka,Midfielder,Chelsea,Arsenal,13,Home,3.0,1.0,90,0,3,0,1,0.74,0,0,0,0,0,0,2,0.73,0.14,2.6,4.8,5,8,0,12,35,36.23,0,0,0,0,4,0,13,35,3.77,3.87,138,a
34,35,Xhaka,Midfielder,Newcastle,Arsenal,3,Away,0.0,2.0,90,0,0,1,0,1.3,0,0,0,0,0,0,0,0.0,0.17,2.6,4.8,5,8,1,12,35,36.23,0,0,0,0,4,0,13,35,3.77,3.87,138,a
35,36,Xhaka,Midfielder,Brighton,Arsenal,1,Home,0.0,3.0,59,0,0,0,1,0.96,0,0,0,0,0,0,0,0.1,0.02,2.6,4.8,5,8,0,12,35,36.23,0,0,0,0,4,0,13,35,3.77,3.87,138,a
36,37,Xhaka,Midfielder,Nott'm Forest,Arsenal,2,Away,1.0,0.0,62,0,0,0,1,0.32,0,0,0,0,0,0,0,0.0,0.01,2.6,4.8,5,8,0,12,35,36.23,0,0,0,0,4,0,13,35,3.77,3.87,138,a
37,1,Elneny,Midfielder,Crystal Palace,Arsenal,0,Away,0.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
38,2,Elneny,Midfielder,Leicester,Arsenal,0,Home,4.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
39,3,Elneny,Midfielder,Bournemouth,Arsenal,0,Away,0.0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
40,4,Elneny,Midfielder,Fulham,Arsenal,2,Home,2.0,1.0,90,0,0,0,1,0.83,0,0,0,0,0,0,0,0.0,0.04,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
41,5,Elneny,Midfielder,Aston Villa,Arsenal,0,Home,2.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
42,6,Elneny,Midfielder,Man Utd,Arsenal,0,Away,3.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
43,8,Elneny,Midfielder,Brentford,Arsenal,0,Away,0.0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
44,9,Elneny,Midfielder,Spurs,Arsenal,0,Home,3.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
45,10,Elneny,Midfielder,Liverpool,Arsenal,0,Home,3.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
46,11,Elneny,Midfielder,Leeds,Arsenal,0,Away,0.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
47,13,Elneny,Midfielder,Southampton,Arsenal,0,Away,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
48,14,Elneny,Midfielder,Nott'm Forest,Arsenal,0,Home,5.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
49,15,Elneny,Midfielder,Chelsea,Arsenal,1,Away,0.0,1.0,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
50,16,Elneny,Midfielder,Wolves,Arsenal,1,Away,0.0,2.0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
51,17,Elneny,Midfielder,West Ham,Arsenal,1,Home,3.0,1.0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
52,18,Elneny,Midfielder,Brighton,Arsenal,1,Away,2.0,4.0,16,0,0,0,1,0.46,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
53,19,Elneny,Midfielder,Newcastle,Arsenal,0,Home,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
54,20,Elneny,Midfielder,Spurs,Arsenal,0,Away,0.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
55,21,Elneny,Midfielder,Man Utd,Arsenal,0,Home,3.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
56,22,Elneny,Midfielder,Everton,Arsenal,0,Away,1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
57,23,Elneny,Midfielder,Brentford,Arsenal,0,Home,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
58,23,Elneny,Midfielder,Man City,Arsenal,0,Home,1.0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
59,24,Elneny,Midfielder,Aston Villa,Arsenal,0,Away,2.0,4.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
60,25,Elneny,Midfielder,Leicester,Arsenal,0,Away,0.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
61,25,Elneny,Midfielder,Everton,Arsenal,0,Home,4.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
62,26,Elneny,Midfielder,Bournemouth,Arsenal,0,Home,3.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
63,27,Elneny,Midfielder,Fulham,Arsenal,0,Away,0.0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
64,28,Elneny,Midfielder,Crystal Palace,Arsenal,0,Home,4.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
65,29,Elneny,Midfielder,Leeds,Arsenal,0,Home,4.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
66,30,Elneny,Midfielder,Liverpool,Arsenal,0,Away,2.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
67,31,Elneny,Midfielder,West Ham,Arsenal,0,Away,2.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
68,32,Elneny,Midfielder,Southampton,Arsenal,0,Home,3.0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
69,33,Elneny,Midfielder,Man City,Arsenal,0,Away,4.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
70,34,Elneny,Midfielder,Chelsea,Arsenal,0,Home,3.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
71,35,Elneny,Midfielder,Newcastle,Arsenal,0,Away,0.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
72,36,Elneny,Midfielder,Brighton,Arsenal,0,Home,0.0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
73,37,Elneny,Midfielder,Nott'm Forest,Arsenal,0,Away,1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6,i
74,1,Holding,Defender,Crystal Palace,Arsenal,0,Away,0.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
75,2,Holding,Defender,Leicester,Arsenal,0,Home,4.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
76,3,Holding,Defender,Bournemouth,Arsenal,0,Away,0.0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
77,4,Holding,Defender,Fulham,Arsenal,1,Home,2.0,1.0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
78,5,Holding,Defender,Aston Villa,Arsenal,1,Home,2.0,1.0,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
79,6,Holding,Defender,Man Utd,Arsenal,0,Away,3.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
80,8,Holding,Defender,Brentford,Arsenal,0,Away,0.0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
81,9,Holding,Defender,Spurs,Arsenal,0,Home,3.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
82,10,Holding,Defender,Liverpool,Arsenal,0,Home,3.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
83,11,Holding,Defender,Leeds,Arsenal,1,Away,0.0,1.0,8,0,0,0,0,0.14,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
84,13,Holding,Defender,Southampton,Arsenal,0,Away,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
85,14,Holding,Defender,Nott'm Forest,Arsenal,0,Home,5.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
86,15,Holding,Defender,Chelsea,Arsenal,1,Away,0.0,1.0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
87,16,Holding,Defender,Wolves,Arsenal,0,Away,0.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
88,17,Holding,Defender,West Ham,Arsenal,0,Home,3.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
89,18,Holding,Defender,Brighton,Arsenal,1,Away,2.0,4.0,3,0,0,0,0,0.14,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
90,19,Holding,Defender,Newcastle,Arsenal,0,Home,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
91,20,Holding,Defender,Spurs,Arsenal,0,Away,0.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
92,21,Holding,Defender,Man Utd,Arsenal,1,Home,3.0,2.0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
93,22,Holding,Defender,Everton,Arsenal,0,Away,1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
94,23,Holding,Defender,Brentford,Arsenal,0,Home,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
95,23,Holding,Defender,Man City,Arsenal,0,Home,1.0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
96,24,Holding,Defender,Aston Villa,Arsenal,1,Away,2.0,4.0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
97,25,Holding,Defender,Leicester,Arsenal,0,Away,0.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
98,25,Holding,Defender,Everton,Arsenal,0,Home,4.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
99,26,Holding,Defender,Bournemouth,Arsenal,0,Home,3.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
100,27,Holding,Defender,Fulham,Arsenal,0,Away,0.0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
101,28,Holding,Defender,Crystal Palace,Arsenal,2,Home,4.0,1.0,90,0,0,0,1,0.6,0,0,0,0,0,0,0,0.03,0.01,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
102,29,Holding,Defender,Leeds,Arsenal,2,Home,4.0,1.0,90,0,0,0,1,0.78,0,0,0,0,0,0,0,0.0,0.01,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
103,30,Holding,Defender,Liverpool,Arsenal,1,Away,2.0,2.0,90,0,0,0,2,3.96,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
104,31,Holding,Defender,West Ham,Arsenal,1,Away,2.0,2.0,90,0,0,0,2,1.75,0,0,0,0,0,0,0,0.06,0.01,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
105,32,Holding,Defender,Southampton,Arsenal,1,Home,3.0,3.0,90,0,0,0,3,1.42,0,0,0,0,0,0,0,0.07,0.02,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
106,33,Holding,Defender,Man City,Arsenal,6,Away,4.0,1.0,90,1,0,0,4,2.06,0,0,0,0,0,0,0,0.16,0.1,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21,a
